Class,Order,Family,FAMILY_ID
Arachnida,Acari,Hydracarina,Hydracarina
Arachnida,Araneae,Pisauridae,Pisauridae
Arachnida,Araneae,Tetragnathidae,Tetragnathidae
Bivalvia,,,Bivalvia
Bivalvia,Sphaeriida,Sphaeriidae,Sphaeriidae
Branchiopoda,Cladocera,,Cladocera
Branchiopoda,Conchostraca,,Conchostraca
Clitellata,Hirudinea,Erpobdellidae,Erpobdellidae
Clitellata,Hirudinea,Glossiphoniidae,Glossiphoniidae
Clitellata,Hirudinea,Haemopidae,Haemopidae
Clitellata,Oligochaeta,,Oligochaeta
Clitellata,Oligochaeta,Lumbriculidae,Lumbriculidae
Clitellata,Oligochaeta,Naididae,Naididae
Collembola,Collembola,,Collembola
Collembola,Collembola,Isotomidae,Isotomidae
Collembola,Collembola,Sminthuridae,Sminthuridae
Copepoda,Calanoida,,Calanoida
Copepoda,Cyclopoida,,Cyclopoida
Copepoda,Harpacticoida,,Harpacticoida
Gastropoda,,,Gastropoda
Gastropoda,Ectobranchia,Valvatidae,Valvatidae
Gastropoda,Lymnaeida,Ancylidae,Ancylidae
Gastropoda,Lymnaeida,Hydrobiidae,Hydrobiidae
Gastropoda,Lymnaeida,Lymnaeidae,Lymnaeidae
Gastropoda,Lymnaeida,Physidae,Physidae
Gastropoda,Lymnaeida,Planorbidae,Planorbidae
Hydrozoa,Anthoathecatae,Hydridae,Hydridae
Insecta,Coleoptera,,Coleoptera
Insecta,Coleoptera,Chrysomelidae,Chrysomelidae
Insecta,Coleoptera,Curculionidae,Curculionidae
Insecta,Coleoptera,Dytiscidae,Dytiscidae
Insecta,Coleoptera,Elmidae,Elmidae
Insecta,Coleoptera,Gyrinidae,Gyrinidae
Insecta,Coleoptera,Haliplidae,Haliplidae
Insecta,Coleoptera,Hydraenidae,Hydraenidae
Insecta,Coleoptera,Hydrophilidae,Hydrophilidae
Insecta,Coleoptera,Scirtidae,Scirtidae
Insecta,Diptera,,Diptera
Insecta,Diptera,Ceratopogonidae,Ceratopogonidae
Insecta,Diptera,Chaoboridae,Chaoboridae
Insecta,Diptera,Chironomidae,Chironomidae
Insecta,Diptera,Culicidae,Culicidae
Insecta,Diptera,Dixidae,Dixidae
Insecta,Diptera,Empididae,Empididae
Insecta,Diptera,Ephydridae,Ephydridae
Insecta,Diptera,Psychodidae,Psychodidae
Insecta,Diptera,Sciomyzidae,Sciomyzidae
Insecta,Diptera,Simuliidae,Simuliidae
Insecta,Diptera,Stratiomyidae,Stratiomyidae
Insecta,Diptera,Syrphidae,Syrphidae
Insecta,Diptera,Tabanidae,Tabanidae
Insecta,Diptera,Tipulidae,Tipulidae
Insecta,Ephemeroptera,,Ephemeroptera
Insecta,Ephemeroptera,Baetidae,Baetidae
Insecta,Ephemeroptera,Caenidae,Caenidae
Insecta,Ephemeroptera,Siphlonuridae,Siphlonuridae
Insecta,Hemiptera,,Hemiptera
Insecta,Hemiptera,Belostomatidae,Belostomatidae
Insecta,Hemiptera,Corixidae,Corixidae
Insecta,Hemiptera,Gerridae,Gerridae
Insecta,Hemiptera,Hebridae,Hebridae
Insecta,Hemiptera,Mesoveliidae,Mesoveliidae
Insecta,Hemiptera,Nepidae,Nepidae
Insecta,Hemiptera,Notonectidae,Notonectidae
Insecta,Hemiptera,Saldidae,Saldidae
Insecta,Hemiptera,Veliidae,Veliidae
Insecta,Lepidoptera,Noctuidae,Noctuidae
Insecta,Lepidoptera,Pyralidae,Pyralidae
Insecta,Megaloptera,Sialidae,Sialidae
Insecta,Odonata,,Odonata
Insecta,Odonata,Aeshnidae,Aeshnidae
Insecta,Odonata,Calopterygidae,Calopterygidae
Insecta,Odonata,Coenagrionidae,Coenagrionidae
Insecta,Odonata,Corduliidae,Corduliidae
Insecta,Odonata,Lestidae,Lestidae
Insecta,Odonata,Libellulidae,Libellulidae
Insecta,Odonata,Libellulidae_Corduliidae,Libellulidae_Corduliidae
Insecta,Trichoptera,,Trichoptera
Insecta,Trichoptera,Hydropsychidae,Hydropsychidae
Insecta,Trichoptera,Hydroptilidae,Hydroptilidae
Insecta,Trichoptera,Lepidostomatidae,Lepidostomatidae
Insecta,Trichoptera,Leptoceridae,Leptoceridae
Insecta,Trichoptera,Limnephilidae,Limnephilidae
Insecta,Trichoptera,Phryganeidae,Phryganeidae
Insecta,Trichoptera,Polycentropodidae,Polycentropodidae
Malacostraca,Amphipoda,,Amphipoda
Malacostraca,Amphipoda,Gammaridae,Gammaridae
Malacostraca,Amphipoda,Hyalellidae,Hyalellidae
Nematoda,,,Nematoda
Ostracoda,,,Ostracoda
Porifera,,,Porifera
Terrestrial,,,Terrestrial
